InterZone,All people,Area (hectares),simd_mode
S02001875,3144,68,2
S02001876,5387,120,5
S02001877,3435,82,3
S02001878,4951,86,5
S02001879,2903,71,5
S02001880,3744,583,1
S02001881,5159,97,1
S02001882,4319,116,1
S02001883,4905,75,1
S02001884,4157,101,3
S02001885,4368,67,4
S02001886,4798,80,2
S02001887,4172,57,3
S02001888,5646,198,1
S02001889,5824,83,1
S02001890,5001,218,1
S02001891,3987,104,1
S02001892,3552,38,1
S02001893,2529,119,1
S02001894,5709,220,1
S02001895,3166,88,1
S02001896,5637,203,1
S02001897,3887,244,3
S02001898,2701,135,2
S02001899,3766,128,4
S02001900,3842,76,1
S02001901,5313,609,3
S02001902,4296,107,4
S02001903,4298,136,4
S02001904,3183,409,1
S02001905,2740,87,1
S02001906,3633,583,2
S02001907,3405,93,1
S02001908,4904,229,1
S02001909,5228,129,1
S02001910,4492,79,1
S02001911,3554,42,1
S02001912,3573,114,1
S02001913,3419,73,1
S02001914,6265,134,1
S02001915,5100,137,1
S02001916,5861,221,1
S02001917,4421,129,1
S02001918,6125,427,4
S02001919,3585,117,1
S02001920,2637,71,1
S02001921,4307,71,1
S02001922,4716,167,1
S02001923,4273,81,1
S02001924,3609,212,1
S02001925,2320,100,2
S02001926,5773,171,1
S02001927,4030,55,3
S02001928,2500,72,2
S02001929,5068,103,1
S02001930,4195,28,4
S02001931,4926,62,1
S02001932,9139,166,3
S02001933,4453,74,3
S02001934,2832,116,4
S02001935,4420,60,2
S02001936,6985,123,5
S02001937,6449,54,4
S02001938,3416,70,1
S02001939,5667,58,1
S02001940,4616,92,1
S02001941,6987,116,3
S02001942,5812,186,1
S02001943,4190,132,1
S02001944,3554,64,1
S02001945,4093,766,1
S02001946,4031,158,1
S02001947,3295,76,1
S02001948,2742,54,1
S02001949,3619,48,1
S02001950,6079,115,5
S02001951,3795,49,5
S02001952,5946,67,4
S02001953,5715,97,4
S02001954,4602,50,3
S02001955,3845,35,2
S02001956,5517,54,5
S02001957,4338,46,5
S02001958,5577,182,5
S02001959,4348,62,5
S02001960,2694,71,5
S02001961,3405,52,1
S02001962,4321,66,5
S02001963,3718,99,1
S02001964,4571,98,1
S02001965,3030,51,2
S02001966,2666,45,1
S02001967,3977,62,1
S02001968,3459,94,1
S02001969,3692,55,1
S02001970,4217,150,4
S02001971,5995,130,3
S02001972,5683,98,1
S02001973,2926,90,3
S02001974,2623,83,1
S02001975,3686,89,1
S02001976,3287,128,1
S02001977,3464,89,1
S02001978,4667,229718,3
S02001979,4576,539,3
S02001980,5861,9044,3
S02001981,4883,227215,4
S02001982,3842,133438,4
S02001983,5050,38882,4
S02001984,4696,51474,4
S02001985,4251,42214,4
S02001986,4184,163,3
S02001987,4582,244,5
S02001988,5080,72761,4
S02001989,4192,306,5
S02001990,3248,108,3
S02001991,5884,726,4
S02001992,4327,719,5
S02001993,2519,6274,5
S02001994,4942,522,5
S02001995,3595,130,3
S02001996,3770,77,2
S02001997,2516,71,5
S02001998,4378,567,4
S02001999,4524,164,4
S02002000,4663,193,2
S02002001,4146,108,1
S02002002,3406,90,1
S02002003,3143,113,3
S02002004,3255,1356,3
S02002005,6307,91558,4
S02002006,4524,113878,4
S02002007,2709,92147,3
S02002008,3410,78864,3
S02002009,3445,32233,2
S02002010,3322,64033,3
S02002011,3008,136081,3
S02002012,3226,122475,3
S02002013,3649,135072,3
S02002014,3278,48796,4
S02002015,3305,3818,4
S02002016,3524,2853,4
S02002017,5429,371,3
S02002018,6314,12257,4
S02002019,3640,13381,4
S02002020,5957,810,1
S02002021,4309,1291,2
S02002022,4459,15017,3
S02002023,3807,2112,2
S02002024,6068,219368,3
S02002025,4290,63800,3
S02002026,2911,59759,2
S02002027,3667,167,1
S02002028,3287,217,4
S02002029,3773,40217,3
S02002030,5086,79565,3
S02002031,2900,98,3
S02002032,4862,241,4
S02002033,3486,320695,3
S02002034,2553,130,5
S02002035,3204,11296,3
S02002036,5766,1479,4
S02002037,3193,1237,5
S02002038,4267,98,4
S02002039,4243,155,2
S02002040,6389,164,1
S02002041,5024,108,1
S02002042,5084,235,5
S02002043,5921,134,4
S02002044,4616,112,3
S02002045,4242,71,1
S02002046,5150,161,1
S02002047,6225,203,1
S02002048,5603,165,1
S02002049,4900,211,1
S02002050,5105,87,1
S02002051,2649,16058,4
S02002052,3914,104,2
S02002053,3959,80,5
S02002054,2569,60,2
S02002055,3568,88,3
S02002056,2323,3362,4
S02002057,3310,669,2
S02002058,2519,464,3
S02002059,3668,124,3
S02002060,4862,106,2
S02002061,5692,169,2
S02002062,5913,986,5
S02002063,4581,459,5
S02002064,3513,1553,3
S02002065,3637,653,2
S02002066,2861,53,1
S02002067,5287,9890,3
S02002068,3057,79,2
S02002069,4725,87,1
S02002070,4126,138,2
S02002071,2630,104,2
S02002072,3824,85,2
S02002073,4328,79561,4
S02002074,3792,20204,4
S02002075,3119,29481,4
S02002076,4734,230,4
S02002077,5406,9441,3
S02002078,3543,651,2
S02002079,4534,238,4
S02002080,3675,4461,4
S02002081,2355,8414,4
S02002082,3030,14342,4
S02002083,3324,6048,4
S02002084,4333,226,3
S02002085,3871,108,4
S02002086,4079,133,5
S02002087,3235,220,5
S02002088,3441,111,3
S02002089,3376,95,5
S02002090,3474,100,4
S02002091,4231,113,5
S02002092,5418,5635,4
S02002093,3410,8821,4
S02002094,3721,1166,5
S02002095,5422,210,3
S02002096,3444,33753,3
S02002097,4660,43133,3
S02002098,2626,4841,1
S02002099,2984,439,2
S02002100,3619,105,2
S02002101,2908,76,2
S02002102,2398,50,1
S02002103,4312,175,2
S02002104,5182,174,4
S02002105,3627,161,1
S02002106,3170,50,1
S02002107,3086,65,2
S02002108,3177,123,1
S02002109,3034,245,1
S02002110,2349,1473,1
S02002111,3863,105,1
S02002112,3170,128,1
S02002113,3130,104,3
S02002114,4589,80,1
S02002115,3742,118,3
S02002116,5159,93,1
S02002117,2975,104,1
S02002118,4206,90,1
S02002119,5304,116,4
S02002120,3013,87,1
S02002121,4348,177,1
S02002122,3846,119,1
S02002123,2999,3866,1
S02002124,3152,97,1
S02002125,2328,8055,2
S02002126,4783,182,4
S02002127,3776,126,4
S02002128,4894,1492,2
S02002129,4046,160,5
S02002130,2942,17122,3
S02002131,3359,124,3
S02002132,4224,169,1
S02002133,3209,217,1
S02002134,3957,4491,3
S02002135,3984,1025,1
S02002136,3537,96,2
S02002137,4057,70,1
S02002138,6064,194,5
S02002139,4390,150,1
S02002140,3984,108,1
S02002141,5080,108,1
S02002142,6110,170,2
S02002143,3832,86,2
S02002144,2885,53,4
S02002145,5745,204,2
S02002146,3399,4846,2
S02002147,4481,120,3
S02002148,2920,105,1
S02002149,5392,7742,2
S02002150,3756,1191,3
S02002151,3223,186,2
S02002152,3898,100,1
S02002153,3045,121,3
S02002154,5122,109,1
S02002155,3818,170,1
S02002156,4211,153,5
S02002157,4068,91,1
S02002158,3153,67,1
S02002159,5037,626,1
S02002160,5254,517,2
S02002161,5031,208,2
S02002162,5314,104,1
S02002163,4866,108,1
S02002164,2697,233,3
S02002165,3550,127,1
S02002166,4900,428,5
S02002167,5711,377,1
S02002168,4868,513,4
S02002169,6328,152,1
S02002170,6056,136,1
S02002171,6230,116,1
S02002172,2636,58,5
S02002173,4052,90,1
S02002174,4818,111,1
S02002175,4064,148,2
S02002176,3193,128,2
S02002177,2939,141,1
S02002178,5640,177,4
S02002179,2538,235,1
S02002180,2544,55,1
S02002181,3952,114,5
S02002182,3797,87,4
S02002183,4005,121,1
S02002184,3153,74,1
S02002185,4684,162,4
S02002186,5485,157,3
S02002187,5495,115,1
S02002188,5547,136,1
S02002189,4134,118,3
S02002190,5714,4407,1
S02002191,4602,4309,2
S02002192,5621,2916,3
S02002193,4410,159,2
S02002194,2380,1279,4
S02002195,4166,144,2
S02002196,3665,124,1
S02002197,3626,286,4
S02002198,6234,401,4
S02002199,4985,123,3
S02002200,4039,1898,2
S02002201,3497,69,2
S02002202,4738,125,1
S02002203,4310,105,2
S02002204,4120,90,2
S02002205,4410,81,2
S02002206,3546,420,2
S02002207,5126,243,5
S02002208,3595,103,5
S02002209,2924,101,5
S02002210,6120,4206,2
S02002211,3308,86,1
S02002212,3919,2179,2
S02002213,3146,9661,4
S02002214,4009,26399,4
S02002215,3663,13599,4
S02002216,3851,158,3
S02002217,2500,102,4
S02002218,4180,49061,3
S02002219,3630,11513,4
S02002220,4698,192,3
S02002221,3500,13876,4
S02002222,3562,24104,4
S02002223,4069,184,4
S02002224,3788,43641,4
S02002225,3234,172,5
S02002226,4134,166,3
S02002227,4144,15860,4
S02002228,3982,17089,4
S02002229,4933,7571,4
S02002230,4366,187,2
S02002231,5780,188,5
S02002232,4277,182,5
S02002233,4205,167,5
S02002234,5808,101,1
S02002235,5810,271,2
S02002236,3303,943,2
S02002237,3001,90,4
S02002238,2256,85,2
S02002239,4584,91,1
S02002240,3724,491,3
S02002241,4998,1052,5
S02002242,3894,12023,4
S02002243,3729,5041,4
S02002244,3790,5345,4
S02002245,5145,11740,4
S02002246,3054,7873,3
S02002247,4034,106059,3
S02002248,3010,179,1
S02002249,5533,285,5
S02002250,4516,9649,4
S02002251,5639,27529,4
S02002252,3716,10203,4
S02002253,4806,194416,4
S02002254,2769,82,3
S02002255,3768,9329,4
S02002256,3722,10487,5
S02002257,3394,95,3
S02002258,5411,153,2
S02002259,3573,96,1
S02002260,3877,197,1
S02002261,4260,92,2
S02002262,5060,277,4
S02002263,4227,159,1
S02002264,3579,90,1
S02002265,5615,118,1
S02002266,4998,124,1
S02002267,4850,157,5
S02002268,4184,78,2
S02002269,3470,83,2
S02002270,3843,142,5
S02002271,5791,137,1
S02002272,3476,95,3
S02002273,4111,166,1
S02002274,6584,149,1
S02002275,5930,208,1
S02002276,4904,126,5
S02002277,5625,124,1
S02002278,4603,565,1
S02002279,6750,204,1
S02002280,5128,112,2
S02002281,5626,127,2
S02002282,4350,602,2
S02002283,5893,154,5
S02002284,5176,166,3
S02002285,5820,136,2
S02002286,4708,136,5
S02002287,3939,111,1
S02002288,4652,114,3
S02002289,3294,92,5
S02002290,3102,116,4
S02002291,4846,793,5
S02002292,5615,70484,4
S02002293,4331,174,3
S02002294,4045,188,5
S02002295,5411,22869,3
S02002296,4844,34415,4
S02002297,3730,147,3
S02002298,3130,71,2
S02002299,3309,889,4
S02002300,2798,85,1
S02002301,5266,572,3
S02002302,2909,24772,4
S02002303,4067,46093,4
S02002304,2753,183,3
S02002305,3758,20083,3
S02002306,3546,122,2
S02002307,4079,17660,4
S02002308,2752,7136,3
S02002309,4578,34151,3
S02002310,3308,83,4
S02002311,2331,111,3
S02002312,2855,34032,4
S02002313,3604,7033,4
S02002314,4030,154,3
S02002315,3923,84792,3
S02002316,3068,121,1
S02002317,4333,132,2
S02002318,3372,204,4
S02002319,3580,112,3
S02002320,2761,66068,4
S02002321,5784,240,3
S02002322,3291,13991,4
S02002323,3475,1962,4
S02002324,4965,3426,3
S02002325,3195,11410,4
S02002326,2789,39906,4
S02002327,2658,35637,3
S02002328,2794,40333,3
S02002329,5501,75552,2
S02002330,3405,58,1
S02002331,3246,133,2
S02002332,4846,961,2
S02002333,4001,23211,3
S02002334,3709,4935,3
S02002335,6075,650,5
S02002336,4487,105,2
S02002337,5553,197,5
S02002338,5041,158,3
S02002339,5359,192,1
S02002340,4757,135,1
S02002341,2627,118,1
S02002342,2884,80,1
S02002343,4211,95,1
S02002344,4247,120,2
S02002345,4353,177,2
S02002346,4145,169,4
S02002347,5417,136,4
S02002348,2710,2604,3
S02002349,5962,6731,2
S02002350,5341,4765,3
S02002351,5472,194,5
S02002352,4046,127,1
S02002353,5404,595,5
S02002354,2623,62006,2
S02002355,5552,21813,4
S02002356,4872,7549,2
S02002357,3756,9919,1
S02002358,3737,2256,4
S02002359,2910,76,4
S02002360,2417,80,2
S02002361,4103,110,1
S02002362,3260,90,3
S02002363,2576,4547,3
S02002364,2602,91,5
S02002365,2366,46,2
S02002366,3779,886,2
S02002367,3788,8404,3
S02002368,4613,5736,2
S02002369,3780,126,2
S02002370,4242,114,1
S02002371,2784,2707,2
S02002372,3367,91,2
S02002373,3823,397,2
S02002374,4126,130,1
S02002375,3583,134,1
S02002376,5713,1896,3
S02002377,4649,419,5
S02002378,2901,103,5
S02002379,2948,27110,4
S02002380,3018,4957,3
S02002381,3743,73,5
S02002382,2751,73,1
S02002383,2878,70,5
S02002384,4060,211,2
S02002385,3683,80,2
S02002386,2163,54,1
S02002387,2868,52,2
S02002388,6305,1049,4
S02002389,3976,83,5
S02002390,4141,75,1
S02002391,3955,219,1
S02002392,4358,91,1
S02002393,3388,79,4
S02002394,3082,94,2
S02002395,4896,195,1
S02002396,4687,100,1
S02002397,3641,106,2
S02002398,3886,229,1
S02002399,3430,414,5
S02002400,3085,74,2
S02002401,5482,291,4
S02002402,5459,731,4
S02002403,6002,238,1
S02002404,4132,101,1
S02002405,4881,112,4
S02002406,3834,115,5
S02002407,5876,124,2
S02002408,3236,289,1
S02002409,3738,154,1
S02002410,3348,61,1
S02002411,3257,56,3
S02002412,2878,64,1
S02002413,3412,100,5
S02002414,4540,106,1
S02002415,3993,97,1
S02002416,4611,6368,4
S02002417,3686,71,2
S02002418,3946,89,2
S02002419,4191,115,3
S02002420,4608,124,3
S02002421,4716,133,4
S02002422,3061,83,3
S02002423,3013,98,3
S02002424,2829,81,4
S02002425,4127,388,5
S02002426,3767,784,5
S02002427,3738,115,2
S02002428,2846,108,5
S02002429,4793,110,2
S02002430,4021,122,2
S02002431,3336,68,2
S02002432,4392,84,2
S02002433,3324,70,3
S02002434,3784,77,2
S02002435,4109,250,2
S02002436,5281,13222,4
S02002437,4060,9856,4
S02002438,3169,17551,4
S02002439,3642,6310,4
S02002440,3029,7578,2
S02002441,2649,117,2
S02002442,2832,69,1
S02002443,3494,91,2
S02002444,3550,86,2
S02002445,5541,155,2
S02002446,3751,211,2
S02002447,3784,161,5
S02002448,2458,366,2
S02002449,3938,52,2
S02002450,2895,137,1
S02002451,3397,119,4
S02002452,2344,83,5
S02002453,7147,1277,5
S02002454,2650,2004,5
S02002455,5089,6868,5
S02002456,4344,129,5
S02002457,4218,26096,4
S02002458,3666,22261,3
S02002459,3319,103891,4
S02002460,4485,108,1
S02002461,4641,290,1
S02002462,5682,130,1
S02002463,4416,94,2
S02002464,3722,141,3
S02002465,5535,225,1
S02002466,4567,2280,4
S02002467,5575,163,1
S02002468,5281,215,3
S02002469,4237,4345,3
S02002470,5188,102,2
S02002471,6221,349,4
S02002472,5715,235,1
S02002473,5117,1696,1
S02002474,5798,1698,1
S02002475,3966,133,2
S02002476,6145,226,2
S02002477,4429,3450,1
S02002478,4843,135,2
S02002479,5021,7417,3
S02002480,5505,185,3
S02002481,4686,1008,5
S02002482,5273,267,5
S02002483,5525,192,2
S02002484,5815,7581,4
S02002485,4999,717,3
S02002486,2671,1233,3
S02002487,5738,172,1
S02002488,4493,189,2
S02002489,5201,159,4
S02002490,4939,118,2
S02002491,5673,140,5
S02002492,3825,417,5
S02002493,2881,71,1
S02002494,5848,1215,3
S02002495,2134,221,2
S02002496,4743,435,1
S02002497,6107,1349,3
S02002498,4918,144,1
S02002499,2994,2335,2
S02002500,5794,483,2
S02002501,6135,148,2
S02002502,3983,1011,4
S02002503,4221,99,2
S02002504,6330,199,2
S02002505,6062,581,4
S02002506,3531,3271,3
S02002507,5996,4290,5
S02002508,4423,145,5
S02002509,3676,497,5
S02002510,4477,3434,2
S02002511,4204,498,2
S02002512,5873,1755,4
S02002513,3813,78,5
S02002514,2768,561,2
